# In order: <instability type: 0 AF, 1 FM, 2 iAF, 3 dWave, 4Charge> -- <lambda> -- Uhub -- beta -- tpri -- filling -- delta iAF -- max phi_mag_AF -- max phi_mag_FM -- max phi_mag -- max phi_dwave -- min phi_density 
1 	 0.4222086686 	1.0000000000 	200.0000000000 	-0.1200000000 	0.3445200000 	4.4428829382 	0.1295479562 	597.0822618632 	565.8121922932 	0.2126127275 	0.3736075608
1 	 0.3154548882 	1.0000000000 	200.0000000000 	-0.1150000000 	0.4365200000 	4.3540252794 	0.2229585872 	571.4617684603 	598.5816943747 	0.2851068143 	0.6098850196
1 	 0.2441087091 	1.0000000000 	200.0000000000 	-0.1100000000 	0.4981300000 	4.3549318958 	0.3325815374 	514.8998369511 	570.2095356637 	0.2912646796 	0.8662218540
1 	 0.1919452980 	1.0000000000 	200.0000000000 	-0.1050000000 	0.5460600000 	4.3540252794 	0.4404905054 	568.7943175110 	557.8805814934 	0.2645378864 	1.0202624584
1 	 0.1472833148 	1.0000000000 	200.0000000000 	-0.1000000000 	0.5860300000 	4.3549318958 	0.6396394720 	136.5786596552 	580.1164297221 	0.3019619622 	1.1292627334
1 	 0.1164528561 	1.0000000000 	200.0000000000 	-0.0950000000 	0.6141100000 	4.4428829382 	0.6998401484 	192.4856442952 	561.0376626898 	0.1296839601 	1.1181584772
1 	 0.0894623670 	1.0000000000 	200.0000000000 	-0.0900000000 	0.6456900000 	4.4428829382 	1.1135562404 	94.3917395265 	533.9564881850 	0.0992721577 	1.1754284422
2 	 0.0815619293 	1.0000000000 	200.0000000000 	-0.0850000000 	0.6742700000 	1.1309733553 	2.1662177551 	110.4579541109 	521.4526310896 	5.9755168266 	2.0027597695
2 	 0.1052628840 	1.0000000000 	200.0000000000 	-0.0800000000 	0.7005400000 	1.1309733553 	2.9748421070 	72.6103979028 	585.7201442765 	11.9805794447 	1.9394763834
3 	 0.1224863895 	1.0000000000 	200.0000000000 	-0.0750000000 	0.7249800000 	1.1309733553 	5.6326785611 	81.4934915023 	187.5687375271 	551.2228629134 	1.4898326387
2 	 0.1522975034 	1.0000000000 	200.0000000000 	-0.0700000000 	0.7479300000 	0.5026548246 	6.4182088462 	58.7877449194 	584.9075135963 	10.3115315687 	1.1140978639
2 	 0.1813716190 	1.0000000000 	200.0000000000 	-0.0650000000 	0.7696600000 	0.5026548246 	10.9824205754 	55.8839792609 	886.6996375618 	4.1457377048 	0.9762195462
2 	 0.2046944475 	1.0000000000 	200.0000000000 	-0.0600000000 	0.7903800000 	0.5026548246 	12.9581359907 	12.9581359907 	508.5605372919 	2.1512263903 	0.8179568868
2 	 0.2229848342 	1.0000000000 	200.0000000000 	-0.0550000000 	0.8102400000 	0.5026548246 	55.8839792609 	10.9824205754 	533.8086935836 	3.2102164872 	0.8099137600
2 	 0.2478731379 	1.0000000000 	200.0000000000 	-0.0500000000 	0.8294000000 	0.1256637061 	58.7877449194 	6.4182088462 	566.2798571635 	1.0591447876 	0.6355266424
2 	 0.2787062001 	1.0000000000 	200.0000000000 	-0.0450000000 	0.8479400000 	0.1256637061 	81.4934915023 	5.6326785611 	574.8116378725 	0.4261578433 	0.5291007530
2 	 0.2993133512 	1.0000000000 	200.0000000000 	-0.0400000000 	0.8659800000 	0.1256637061 	72.6103979028 	2.9748421070 	537.4060958548 	0.3181843211 	0.4825055256
2 	 0.3268949451 	1.0000000000 	200.0000000000 	-0.0350000000 	0.8835800000 	0.1256637061 	110.4579541109 	2.1662177551 	525.8628247666 	0.2250014111 	0.4274861479
2 	 0.3474777496 	1.0000000000 	200.0000000000 	-0.0300000000 	0.9008300000 	0.1256637061 	94.3917395265 	1.1135562404 	554.9923429171 	0.1507255987 	0.3860836828
2 	 0.3731997460 	1.0000000000 	200.0000000000 	-0.0250000000 	0.9177900000 	0.1256637061 	192.4856442952 	0.6998401484 	586.2473892612 	0.1200363178 	0.3442665082
2 	 0.3951461689 	1.0000000000 	200.0000000000 	-0.0200000000 	0.9345000000 	0.1256637061 	136.5786596552 	0.6396394720 	555.5032859231 	0.0922064732 	0.3135663979
0 	 0.4222935895 	1.0000000000 	200.0000000000 	-0.0150000000 	0.9510400000 	0.0000000000 	568.7943175110 	0.4404905054 	568.7943175110 	0.0651245818 	0.2810541851
0 	 0.4486642876 	1.0000000000 	200.0000000000 	-0.0100000000 	0.9674300000 	0.0000000000 	514.8998369511 	0.3325815374 	514.8998369511 	0.0216782196 	0.2475931048
0 	 0.4852865901 	1.0000000000 	200.0000000000 	-0.0050000000 	0.9837400000 	0.0000000000 	571.4617684603 	0.2229585872 	571.4617684603 	0.0043678895 	0.2084770323
0 	 0.5140945872 	1.0000000000 	200.0000000000 	0.0000000000 	1.0000000000 	0.0000000000 	597.0822618632 	0.1295479562 	597.0822618632 	0.0026207627 	0.1839353392
