# In order: <instability type: 0 AF, 1 FM, 2 iAF, 3 dWave, 4Charge> -- <lambda> -- Uhub -- beta -- tpri -- filling -- delta iAF -- max phi_mag_AF -- max phi_mag_FM -- max phi_mag -- max phi_dwave -- min phi_density 
1 	 0.4222086686 	1.0000000000 	200.0000000000 	-0.1200000000 	0.3445200000 	4.4428829382 	0.3220090951 	1004.5197714129 	1004.5197714129 	0.4516227221 	-4.6084431272
1 	 0.3154548882 	1.0000000000 	200.0000000000 	-0.1150000000 	0.4365200000 	4.3540252794 	0.7060206529 	628.4170306033 	1171.2358499351 	0.3190093103 	-7.2522077304
1 	 0.2441087091 	1.0000000000 	200.0000000000 	-0.1100000000 	0.4981300000 	4.3549318958 	1.1937791861 	424.8463193139 	1191.3774762533 	0.1145417168 	-8.7932409303
1 	 0.1919452980 	1.0000000000 	200.0000000000 	-0.1050000000 	0.5460600000 	4.3540252794 	1.6208591998 	558.7946143244 	1218.7694039397 	0.0620014515 	-8.8329888792
1 	 0.1472833148 	1.0000000000 	200.0000000000 	-0.1000000000 	0.5860300000 	4.3549318958 	2.4159377382 	409.1596788944 	1317.2045364960 	-0.0011548381 	-9.4078987110
1 	 0.1164528561 	1.0000000000 	200.0000000000 	-0.0950000000 	0.6141100000 	4.4428829382 	1.9845508151 	1288.5772119612 	1288.5772119612 	0.2683957268 	-4.6863355301
1 	 0.0894623670 	1.0000000000 	200.0000000000 	-0.0900000000 	0.6456900000 	4.4428829382 	3.3042520879 	1235.3527613108 	1235.3527613108 	0.1763013005 	-6.7357795180
3 	 0.0815619293 	1.0000000000 	200.0000000000 	-0.0850000000 	0.6742700000 	1.1309733553 	16.5406105607 	61.3196740122 	1190.7867026531 	2095.9991825276 	-57.5392972536
3 	 0.1052628840 	1.0000000000 	200.0000000000 	-0.0800000000 	0.7005400000 	1.1309733553 	19.6057418163 	24.9688408007 	1241.4741471943 	2504.1736125801 	-59.9778093154
3 	 0.1224863895 	1.0000000000 	200.0000000000 	-0.0750000000 	0.7249800000 	1.1309733553 	16.5149535713 	10.0379595082 	376.9130752174 	39254.6160989646 	-22.0707228169
3 	 0.1522975034 	1.0000000000 	200.0000000000 	-0.0700000000 	0.7479300000 	0.5026548246 	16.9526805740 	7.8001733459 	1088.2908631585 	1220.2907339296 	-19.9141209478
2 	 0.1813716190 	1.0000000000 	200.0000000000 	-0.0650000000 	0.7696600000 	0.5026548246 	26.7091476909 	7.7378559068 	1556.2822633262 	942.0559296089 	-26.5826944496
2 	 0.2046944475 	1.0000000000 	200.0000000000 	-0.0600000000 	0.7903800000 	0.5026548246 	25.8254352409 	4.8145083608 	854.2188383741 	479.0504803537 	-14.9180483741
2 	 0.2229848342 	1.0000000000 	200.0000000000 	-0.0550000000 	0.8102400000 	0.5026548246 	96.2381855763 	4.5505493895 	873.1742698779 	551.1923412637 	-17.6987822302
2 	 0.2478731379 	1.0000000000 	200.0000000000 	-0.0500000000 	0.8294000000 	0.1256637061 	92.8790810238 	2.5459666787 	879.8660548719 	183.1668275888 	-6.0920756811
2 	 0.2787062001 	1.0000000000 	200.0000000000 	-0.0450000000 	0.8479400000 	0.1256637061 	122.4672755830 	2.0023873231 	855.8679806445 	111.2049466541 	-4.5213745789
2 	 0.2993133512 	1.0000000000 	200.0000000000 	-0.0400000000 	0.8659800000 	0.1256637061 	106.4564520567 	1.7121580192 	780.5036600710 	87.4388629549 	-3.9168049675
2 	 0.3268949451 	1.0000000000 	200.0000000000 	-0.0350000000 	0.8835800000 	0.1256637061 	156.1041299746 	1.4658058995 	738.8432989987 	71.9389792468 	-3.7597961698
2 	 0.3474777496 	1.0000000000 	200.0000000000 	-0.0300000000 	0.9008300000 	0.1256637061 	130.5459455881 	1.2946139412 	762.1504382256 	60.0593778369 	-3.5343861784
2 	 0.3731997460 	1.0000000000 	200.0000000000 	-0.0250000000 	0.9177900000 	0.1256637061 	258.6879908291 	1.1638067605 	785.2428626441 	57.4004704215 	-4.0153781701
2 	 0.3951461689 	1.0000000000 	200.0000000000 	-0.0200000000 	0.9345000000 	0.1256637061 	180.0237486134 	1.0006851434 	728.6897082450 	44.6240054473 	-3.4604520245
0 	 0.4222935895 	1.0000000000 	200.0000000000 	-0.0150000000 	0.9510400000 	0.0000000000 	728.1695078653 	0.8130234748 	728.1695078653 	28.8621225282 	-2.4318252785
0 	 0.4486642876 	1.0000000000 	200.0000000000 	-0.0100000000 	0.9674300000 	0.0000000000 	644.5402129037 	0.6265121321 	644.5402129037 	10.2709678652 	-0.5599338041
0 	 0.4852865901 	1.0000000000 	200.0000000000 	-0.0050000000 	0.9837400000 	0.0000000000 	695.1638796362 	0.4972009017 	695.1638796362 	4.4625212772 	-0.0135532217
0 	 0.5140945872 	1.0000000000 	200.0000000000 	0.0000000000 	1.0000000000 	0.0000000000 	711.1091603044 	0.4268418265 	711.1091603044 	3.6650145131 	-0.0120569174
