# In order: <instability type: 0 AF, 1 FM, 2 iAF, 3 dWave, 4Charge> -- <critical lambda> -- Uhub -- beta -- tpri -- filling -- max phi_mag_AF -- max phi_mag_FM -- max phi_mag -- max phi_dwave -- min phi_density 
1 	 0.3757613360 	1.0000000000 	50.0000000000 	-0.1200000000 	0.3686400000 	0.3681346778 	329.0621115378 	317.3599750662 	0.1609033154 	-3.6071533986
2 	 0.3067806382 	1.0000000000 	50.0000000000 	-0.1150000000 	0.4670800000 	0.6140064357 	308.6646928432 	286.5220609127 	0.3413906656 	-12.7888390158
2 	 0.2505462545 	1.0000000000 	50.0000000000 	-0.1100000000 	0.5330000000 	1.0032479216 	333.8885042578 	336.4796744842 	0.5398141558 	-81.3622637843
4 	 0.2168231150 	1.0000000000 	50.0000000000 	-0.1050000000 	0.5842900000 	1.5211058440 	310.9166461207 	46.6278321241 	0.1739803850 	-328.1886641087
4 	 0.1929389613 	1.0000000000 	50.0000000000 	-0.1000000000 	0.6270500000 	2.3000760148 	301.5237877330 	29.8758965279 	0.0575244573 	-312.8975426280
4 	 0.1743211054 	1.0000000000 	50.0000000000 	-0.0950000000 	0.6571000000 	3.2222498052 	318.9397372165 	21.7769809743 	0.0099588767 	-318.7160381906
2 	 0.1728013822 	1.0000000000 	50.0000000000 	-0.0900000000 	0.6908800000 	4.9384555680 	354.5444324652 	311.4768802421 	0.2567115357 	-44.7754586560
2 	 0.1864935207 	1.0000000000 	50.0000000000 	-0.0850000000 	0.7214700000 	5.9109429272 	89.0678630973 	294.9103442774 	0.3250357877 	-13.7852187710
2 	 0.1939474645 	1.0000000000 	50.0000000000 	-0.0800000000 	0.7495800000 	8.4622002753 	50.1386011434 	304.1988272931 	0.4421761241 	-9.4719460583
2 	 0.1908354346 	1.0000000000 	50.0000000000 	-0.0750000000 	0.7757200000 	20.1551677369 	20.1551677369 	339.8147646854 	0.9768682463 	-11.0447583203
2 	 0.2013749319 	1.0000000000 	50.0000000000 	-0.0700000000 	0.8002800000 	50.1386011434 	8.4622002753 	357.9984978289 	0.5279473608 	-5.8211280243
2 	 0.2185678299 	1.0000000000 	50.0000000000 	-0.0650000000 	0.8235400000 	89.0678630973 	5.9109429272 	314.7184964441 	0.3506909408 	-3.3828992609
2 	 0.2331998237 	1.0000000000 	50.0000000000 	-0.0600000000 	0.8457000000 	354.5444324652 	4.9384555680 	405.2728398110 	0.4431069559 	-2.6689079088
0 	 0.2515670043 	1.0000000000 	50.0000000000 	-0.0550000000 	0.8669600000 	318.9397372165 	3.2222498052 	318.9397372165 	0.1591740939 	-1.5938346075
0 	 0.2681889284 	1.0000000000 	50.0000000000 	-0.0500000000 	0.8874500000 	301.5237877330 	2.3000760148 	301.5237877330 	0.0949716013 	-1.1318640914
0 	 0.2849169225 	1.0000000000 	50.0000000000 	-0.0450000000 	0.9073000000 	310.9166461207 	1.5211058440 	310.9166461207 	0.0584534031 	-0.8385099969
0 	 0.3005816744 	1.0000000000 	50.0000000000 	-0.0400000000 	0.9266000000 	333.8885042578 	1.0032479216 	333.8885042578 	0.0377106288 	-0.6491298429
0 	 0.3165098733 	1.0000000000 	50.0000000000 	-0.0350000000 	0.9454300000 	308.6646928432 	0.6140064357 	308.6646928432 	0.0236100075 	-0.5029772033
0 	 0.3317758956 	1.0000000000 	50.0000000000 	-0.0300000000 	0.9638900000 	329.0621115378 	0.3681346778 	329.0621115378 	0.0165960335 	-0.4061405934
